month_end,ticker,permno,weight,composite_score,normalized_composite_score,mktcap,ret_next,pnl
1990-12-31,MO,13901,0.09430739466353419,269.3,1.86,47891985.75,0.074879,0.007061643405010777
1990-12-31,LLY,50876,0.07241050996473998,310.5,7.54,19544198.75,0.064846,0.004695531929173529
1990-12-31,MRK,22752,0.07047918113762328,268.4,1.74,34815597.75,0.018081,0.0012743340741493663
1990-12-31,PG,18163,0.05564216660810004,259.2,0.47,30030635.25,-0.079365,-0.00441604055285186
1990-12-31,INTC,59328,0.04653840036844225,303.5,6.58,7686563.5,0.188312,0.008763739250182097
1990-12-31,PCG,13688,0.04474535657790297,293.6,5.21,10523300.0,0.005,0.00022372678288951485
1990-12-31,ARC,10604,0.04179817956855483,265.1,1.28,19937498.25,-0.034378,-0.001436937817207778
1990-12-31,CPQ,68347,0.040228963745905344,301.7,6.33,4830942.88,0.237251,0.009544361877679788
1990-12-31,NSC,64311,0.03945759120782854,296.1,5.56,6572410.25,0.105389,0.004158396079801842
1990-12-31,FNM,51043,0.039379927241454324,291.0,4.86,8510456.25,0.118456,0.004664788661313713
1990-12-31,DTE,11674,0.038469494964379,300.9,6.22,4150433.5,0.0,0.0
1990-12-31,GS,16424,0.03509411939580109,291.0,4.86,6095597.75,0.046136,0.0016191022924446795
1990-12-31,SCE,15720,0.03247876141390755,281.6,3.56,8274702.75,-0.006601,-0.00021439230409320373
1990-12-31,STJM,68591,0.03239777915757236,298.6,5.9,1623052.5,0.137681,0.00446055863219372
1990-12-31,ACAD,85631,0.027295646313815102,292.2,5.02,1235204.25,-0.103448,-0.002823680019871545
1990-12-31,HON,18374,0.027199664947891833,286.7,4.26,3318365.0,0.087079,0.002368519623997473
1990-12-31,NKE,57665,0.02466561466183979,286.7,4.26,1890542.5,0.186335,0.004596067308013917
1990-12-31,AMB,10225,0.023383851879110577,268.5,1.75,8240655.0,-0.021084,-0.0004930251330191673
1990-12-31,CL,18729,0.020126868657027844,272.4,2.29,4889993.75,-0.044746,-0.0009005968649273679
1990-12-31,IMA,12511,0.01915707357083964,279.2,3.23,1701150.0,0.106667,0.002043427566580752
1990-12-31,SGP,25013,0.018834920155663622,257.2,0.19,10068598.75,0.011944,0.0002249642863392463
1990-12-31,AHC,28484,0.01721939700500866,271.1,2.11,3756931.5,-0.03504,-0.0006033676710555035
1990-12-31,PD,17806,0.016357939009946233,274.5,2.58,1950334.88,0.064018,0.001047202539538738
1990-12-31,PEG,23712,0.014744433597669726,262.4,0.91,5743129.88,-0.014218,-0.00020963635689166815
1990-12-31,GRN,62252,0.014424329495911001,255.8,0.0,8127456.0,-0.02957,-0.0004265274231940883
1990-12-31,GEB,25910,0.014227112884178892,271.1,2.11,2070915.0,0.036364,0.0005173547329202812
1990-12-31,NWL,60986,0.013786505121284886,272.0,2.23,1472922.0,0.207071,0.0028547854019695825
1990-12-31,KWP,89392,0.013784237345174238,273.4,2.43,927619.0,0.096939,0.0013362301840038455
1990-12-31,AAPL,14593,0.01375834671873436,263.1,1.01,4915502.0,0.290698,0.003999523874442641
